city_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
149,Ballinasloe,53.3275,-8.2194,46.99,91,99,1.99,IE,overcast clouds
150,Mendeleyevsk,55.9082,52.2905,33.8,93,90,22.37,RU,light rain and snow
151,Kenai,60.5544,-151.2583,33.8,51,90,8.05,US,overcast clouds
152,Kavieng,-2.5744,150.7967,83.73,69,33,4.47,PG,scattered clouds
153,Inirida,3.8653,-67.9239,75.25,93,100,0.94,CO,overcast clouds
154,Baykit,61.67,96.37,-7.22,99,71,2.59,RU,broken clouds
155,Balykshi,47.0667,51.8667,37.4,65,0,15.66,KZ,clear sky
156,Damghan,36.1683,54.348,53.1,44,90,2.08,IR,overcast clouds
157,Provideniya,64.3833,-173.3,6.8,61,0,2.24,RU,clear sky
158,Kruisfontein,-34.0033,24.7314,64.99,74,54,1.99,ZA,broken clouds
159,Capaci,38.1711,13.2393,55.99,76,0,3.44,IT,clear sky
160,Tubmanburg,6.8708,-10.8172,75.54,95,70,1.81,LR,broken clouds
161,Pevek,69.7008,170.3133,-4.23,85,100,1.61,RU,overcast clouds
162,Nikolskoye,59.7035,30.7861,35.01,93,0,6.71,RU,clear sky
163,Algarrobo,10.1869,-74.5753,81.0,79,62,5.95,CO,broken clouds
164,Malyye Derbety,47.9547,44.6808,37.2,76,0,7.49,RU,clear sky
165,Muyezerskiy,63.9333,31.65,32.49,88,97,11.25,RU,overcast clouds
166,Saldanha,-33.0117,17.9442,60.8,82,98,5.75,ZA,overcast clouds
167,Ordu,40.9086,37.6845,46.4,100,75,2.35,TR,broken clouds
168,Nampula,-15.1165,39.2666,62.8,98,10,3.71,MZ,clear sky
169,Hithadhoo,-0.6,73.0833,83.07,77,50,21.09,MV,scattered clouds
170,Bagli,22.65,76.35,69.8,68,6,4.61,IN,haze
171,Xichang,27.8964,102.2634,56.05,66,7,1.74,CN,clear sky
172,Berdigestyakh,62.0989,126.6992,19.38,91,99,4.72,RU,overcast clouds
173,Port Lincoln,-34.7333,135.8667,76.14,40,44,4.99,AU,scattered clouds
174,Necochea,-38.5473,-58.7368,61.0,84,80,3.0,AR,broken clouds
175,Sabinas,27.85,-101.1167,72.7,41,74,12.44,MX,broken clouds
176,Bathsheba,13.2167,-59.5167,77.0,73,40,20.71,BB,scattered clouds
177,Longyearbyen,78.2186,15.6401,28.4,74,75,5.75,SJ,light snow
178,Labuhan,-6.8844,112.2051,78.55,87,99,5.37,ID,overcast clouds
179,Westport,41.1415,-73.3579,55.0,87,90,4.61,US,mist
180,Muriwai Beach,-36.8167,174.45,69.01,79,42,1.99,NZ,scattered clouds
181,Rovaniemi,66.5,25.7167,32.0,74,0,11.5,FI,clear sky
182,Acapulco,16.8634,-99.8901,84.2,74,1,10.36,MX,clear sky
183,Saint-Joseph,-21.3667,55.6167,77.0,78,0,5.75,RE,light rain
184,Barcelos,41.5388,-8.6151,64.4,59,0,11.5,PT,clear sky
185,Shangqiu,34.45,115.65,47.73,90,100,9.8,CN,overcast clouds
186,Victoria,22.2855,114.1577,80.01,84,94,1.01,HK,overcast clouds
187,Saurimo,-9.6608,20.3916,63.16,97,52,1.23,AO,light rain
188,Rabaul,-4.1967,152.1721,82.83,70,71,3.8,PG,broken clouds
189,Esperance,-33.8667,121.9,68.0,83,40,8.05,AU,scattered clouds
190,Aracati,-4.5617,-37.7697,78.49,86,91,9.19,BR,overcast clouds
191,Mikkeli,61.6886,27.2723,33.8,75,0,6.91,FI,clear sky
192,Erenhot,43.6475,111.9767,37.87,91,100,9.15,CN,overcast clouds
193,Aykhal,66.0,111.5,-14.49,96,100,13.27,RU,overcast clouds
194,Xiaoshi,41.2971,124.1209,50.0,53,20,6.71,CN,smoke
195,Santa Lucia,27.9117,-15.5407,66.2,82,75,8.05,ES,broken clouds
196,Hilo,19.7297,-155.09,78.8,61,40,9.22,US,light rain
197,Okhotsk,59.3833,143.3,19.11,74,4,14.76,RU,clear sky
198,Torit,4.4133,32.5678,74.66,69,74,4.03,SS,broken clouds
199,Russell,32.3502,-85.1999,62.6,94,90,6.06,US,overcast clouds
200,Gravdal,68.1214,13.5031,36.7,90,70,8.52,NO,broken clouds
201,Cabo San Lucas,22.8909,-109.9124,81.0,19,40,11.5,MX,scattered clouds
202,Jalu,29.0331,21.5482,54.54,50,1,9.78,LY,clear sky
203,Phaltan,17.9833,74.4333,74.88,28,21,6.78,IN,few clouds
204,Krasnyy Chikoy,50.3643,108.7512,29.62,84,100,4.18,RU,overcast clouds
205,Hami,42.8,93.45,41.5,32,2,10.27,CN,clear sky
206,Namibe,-15.1961,12.1522,74.43,83,74,2.93,AO,broken clouds
207,Te Anau,-45.4167,167.7167,60.66,42,49,1.3,NZ,scattered clouds
208,San Andres,12.5847,-81.7006,82.4,78,40,17.27,CO,scattered clouds
209,Yermakovskoye,53.2831,92.4003,20.46,92,88,2.62,RU,overcast clouds
210,Puerto Escondido,15.85,-97.0667,86.0,70,1,6.91,MX,clear sky
211,Petropavlovsk-Kamchatskiy,53.0452,158.6483,35.6,100,90,8.95,RU,light rain
212,Biak,-0.9131,122.8766,81.79,68,99,1.99,ID,overcast clouds
213,Vila Velha,-20.3297,-40.2925,72.0,88,75,3.44,BR,broken clouds
214,Atambua,-9.1061,124.8925,77.0,82,99,2.04,ID,overcast clouds
215,Huangyan,28.6478,121.2594,66.99,99,100,1.99,CN,heavy intensity rain
216,Beringovskiy,63.05,179.3167,10.04,77,98,3.31,RU,overcast clouds
217,Micheweni,-4.9667,39.8333,78.87,83,89,10.09,TZ,moderate rain
218,Kodiak,57.79,-152.4072,33.8,47,1,23.02,US,clear sky
219,Seoul,37.5683,126.9778,62.6,34,0,9.22,KR,clear sky
220,Dombas,62.0696,9.1235,14.13,96,16,6.44,NO,few clouds
221,Upernavik,72.7868,-56.1549,1.22,70,99,7.31,GL,overcast clouds
222,Bayir,37.2687,28.2167,42.8,93,40,4.61,TR,scattered clouds
223,San Jose,37.3394,-121.895,84.0,17,1,11.5,US,clear sky
224,Ondjiva,-17.0667,15.7333,64.02,93,100,3.85,AO,light rain
225,Severo-Yeniseyskiy,60.3725,93.0408,-3.33,94,56,3.11,RU,broken clouds
226,Oranjemund,-28.55,16.4333,61.52,97,27,9.51,NA,scattered clouds
227,Tupelo,34.2576,-88.7034,53.6,37,1,8.05,US,clear sky
228,Bara,10.3744,10.7288,73.45,15,100,8.37,NG,overcast clouds
229,Tual,-5.6667,132.75,79.32,85,100,9.78,ID,overcast clouds
230,Butembo,0.15,29.2833,58.21,92,100,3.11,CD,light rain
231,Cuamba,-14.8031,36.5372,61.75,98,14,2.68,MZ,few clouds
232,San Patricio,28.017,-97.5169,73.4,49,90,12.66,US,overcast clouds
233,Cidreira,-30.1811,-50.2056,68.31,74,14,12.59,BR,few clouds
234,Ballina,-28.8667,153.5667,66.2,100,90,9.22,AU,overcast clouds
235,Paamiut,61.994,-49.6678,30.18,76,100,23.89,GL,overcast clouds
236,Bilma,18.6853,12.9164,69.44,13,0,8.25,NE,clear sky
237,Esmeralda,21.8525,-78.1169,77.0,78,20,16.11,CU,few clouds
238,Daru,-9.0763,143.2092,80.85,83,99,5.28,PG,overcast clouds
239,Moldava Nad Bodvou,48.6143,20.9996,53.6,76,0,4.61,SK,clear sky
240,Adrar,20.5022,-10.0711,82.92,7,100,9.53,MR,overcast clouds
241,Ribeira Grande,38.5167,-28.7,57.34,62,3,7.27,PT,clear sky
242,Vrangel,42.7297,133.0839,46.76,55,0,6.2,RU,clear sky
243,Yumen,40.2833,97.2,34.59,76,100,4.05,CN,light snow
244,Hambantota,6.1241,81.1185,77.0,100,1,4.61,LK,clear sky
245,Porto Novo,6.4965,2.6036,84.2,84,40,9.22,BJ,scattered clouds
246,Onalaska,43.8844,-91.2351,33.8,37,90,16.11,US,overcast clouds
247,Constitucion,-35.3333,-72.4167,56.52,89,99,10.0,CL,overcast clouds
248,Ajdabiya,30.7554,20.2263,54.97,58,7,6.02,LY,clear sky
249,Albanel,48.8832,-72.4487,35.6,93,100,5.75,CA,light rain
250,Tevaitoa,-16.7833,-151.5,82.27,72,100,7.4,PF,overcast clouds
251,Kadhan,24.481,68.9859,76.46,29,0,3.91,PK,clear sky
252,Maputo,-25.9653,32.5892,73.4,68,75,8.05,MZ,broken clouds
253,Meulaboh,4.1363,96.1285,73.71,92,100,4.25,ID,overcast clouds
254,Grindavik,63.8424,-22.4338,41.0,81,90,17.27,IS,overcast clouds
255,Brae,60.3964,-1.353,37.4,65,75,6.91,GB,broken clouds
256,Pacific Grove,36.6177,-121.9166,82.4,14,1,6.91,US,clear sky
257,Hanstholm,57.1167,8.6167,43.0,3,100,5.99,DK,light rain
258,Rawson,-43.3002,-65.1023,58.66,91,100,16.35,AR,overcast clouds
259,Vardo,70.3705,31.1107,34.16,93,95,20.24,NO,overcast clouds
260,Napier,-39.4833,176.9167,63.0,76,100,10.0,NZ,overcast clouds
261,Ostrovnoy,68.0531,39.5131,31.3,94,100,7.63,RU,overcast clouds
262,Colomiers,43.6167,1.35,53.01,76,0,12.66,FR,clear sky
263,Hasaki,35.7333,140.8333,62.6,59,40,10.36,JP,scattered clouds
264,Sagua La Grande,22.8067,-80.0756,78.8,73,20,13.8,CU,few clouds
265,Biltine,14.5333,20.9167,72.95,14,1,7.9,TD,clear sky
266,Esil,51.9556,66.4042,4.42,99,84,7.99,KZ,broken clouds
267,Mount Gambier,-37.8333,140.7667,73.4,40,49,10.36,AU,scattered clouds
268,Svetlogorsk,52.6333,29.7333,45.7,87,93,5.7,BY,overcast clouds
269,Anadyr,64.75,177.4833,8.6,72,0,15.66,RU,clear sky
270,Kalianget,-7.05,113.9333,79.61,83,99,4.03,ID,overcast clouds
271,Rio Gallegos,-51.6226,-69.2181,50.0,71,0,16.11,AR,clear sky
272,Poso,-1.3959,120.7524,81.73,72,96,1.28,ID,overcast clouds
273,Guerrero Negro,27.9769,-114.0611,75.36,28,64,11.56,MX,broken clouds
274,Bilibino,68.0546,166.4372,9.0,85,100,2.51,RU,light snow
275,Saint George,37.1041,-113.5841,71.01,7,1,3.44,US,clear sky
276,Narsaq,60.9167,-46.05,30.2,86,75,3.44,GL,broken clouds
277,Henties Bay,-22.116,14.2845,63.0,91,80,3.0,NA,broken clouds
278,Aberdeen,57.1437,-2.0981,35.6,93,75,6.91,GB,broken clouds
279,Pak Phanang,8.3511,100.202,84.2,89,40,5.61,TH,scattered clouds
280,Makakilo City,21.3469,-158.0858,84.2,51,20,11.5,US,few clouds
281,Tchollire,8.4022,14.1698,74.98,14,100,1.05,CM,overcast clouds
282,Dandong,40.1292,124.3947,59.95,32,100,5.01,CN,overcast clouds
283,Aksu,41.1231,80.2644,42.08,68,100,11.65,CN,overcast clouds
284,Pitimbu,-7.4706,-34.8086,80.6,83,20,5.75,BR,few clouds
285,Guaranda,-1.6,-79.0,56.73,87,94,3.24,EC,light rain
286,San Cristobal,7.7669,-72.225,77.0,94,40,4.61,VE,scattered clouds
287,Hamilton,39.1834,-84.5333,46.4,34,1,12.66,US,clear sky
288,Yuancheng,36.652,107.7896,37.78,97,100,5.03,CN,overcast clouds
289,Grand Gaube,-20.0064,57.6608,75.99,85,14,3.0,MU,light rain
290,Lorengau,-2.0226,147.2712,84.96,68,90,2.91,PG,overcast clouds
291,Port Alfred,-33.5906,26.891,64.99,86,73,12.77,ZA,broken clouds
292,Kidal,18.4411,1.4078,76.55,8,0,10.42,ML,clear sky
293,Zhoucheng,35.9122,116.3117,55.47,33,100,3.49,CN,overcast clouds
294,Timizart,36.8,4.2667,59.34,48,4,6.89,DZ,clear sky
295,Klaksvik,62.2266,-6.589,37.4,75,75,6.91,FO,broken clouds
296,Beisfjord,68.3751,17.5988,32.0,100,90,4.76,NO,light snow
297,Salinopolis,-0.6136,-47.3561,77.83,85,100,5.53,BR,overcast clouds
298,Ponta Delgada,37.7333,-25.6667,59.0,77,20,3.44,PT,few clouds
299,Zhelyabovka,45.3988,34.7578,39.11,93,27,2.93,UA,scattered clouds
300,Idah,7.1065,6.7342,81.0,75,31,6.73,NG,scattered clouds
301,Abbeville,50.1,1.8333,57.2,82,0,4.61,FR,clear sky
302,Medianeira,-25.2953,-54.0939,68.0,73,0,6.91,BR,clear sky
303,Abu Samrah,35.3029,37.1841,49.89,83,38,13.18,SY,scattered clouds
304,Nelson Bay,-32.7167,152.15,68.0,100,75,4.61,AU,broken clouds
305,Aripuana,-9.1667,-60.6333,72.54,97,93,1.79,BR,overcast clouds
306,Envira,-7.3,-70.2167,72.27,96,58,0.67,BR,broken clouds
307,Praia,14.9215,-23.5087,69.8,73,75,17.27,CV,broken clouds
308,Sarankhola,22.3082,89.7897,80.8,77,20,7.52,BD,few clouds
309,Cabinda,-5.55,12.2,75.42,91,100,5.66,AO,overcast clouds
310,Marsh Harbour,26.5412,-77.0636,76.3,70,53,11.16,BS,broken clouds
311,Blyth,55.1271,-1.5086,42.8,100,90,11.5,GB,mist
312,Worland,44.0169,-107.9554,51.01,17,1,8.05,US,clear sky
313,Mantua,45.1667,10.7833,53.01,75,0,1.01,IT,clear sky
314,Bandrele,-12.9067,45.1914,78.8,83,75,9.22,YT,light rain
315,Harnai,30.1005,67.9374,65.1,11,0,9.89,PK,clear sky
316,Marsa Matruh,31.3525,27.2453,53.6,58,20,8.05,EG,few clouds
317,Celestun,20.8667,-90.4,79.07,78,49,19.33,MX,scattered clouds
318,Riyadh,24.6877,46.7219,78.8,12,0,8.05,SA,clear sky
319,Igrim,63.1906,64.4162,29.93,93,100,9.75,RU,overcast clouds
320,Cavalcante,-13.7975,-47.4583,72.18,62,5,2.75,BR,clear sky
321,Manta,-0.95,-80.7333,80.6,78,40,9.22,EC,scattered clouds
322,Nome,64.5011,-165.4064,6.8,56,1,10.36,US,clear sky
323,Sorland,67.667,12.6934,39.72,73,98,18.03,NO,overcast clouds
324,Prince Rupert,54.3161,-130.3201,41.0,93,90,16.11,CA,moderate rain
325,Jiuquan,39.7432,98.5174,35.44,89,100,3.24,CN,light rain
326,Mahebourg,-20.4081,57.7,77.0,94,75,3.44,MU,light rain
327,Sola,-13.8833,167.55,87.8,79,90,4.61,VU,overcast clouds
328,Kaitangata,-46.2817,169.8464,59.0,57,22,8.01,NZ,few clouds
329,Cockburn Town,21.4612,-71.1419,77.0,73,40,17.27,TC,scattered clouds
330,Smithers,54.7804,-127.1743,42.8,56,90,4.61,CA,overcast clouds
331,Chuy,-33.6971,-53.4616,61.66,77,96,6.98,UY,overcast clouds
332,Nuuk,64.1835,-51.7216,28.4,86,75,48.34,GL,snow
333,Bull Savanna,17.8868,-77.5902,75.15,79,5,8.75,JM,clear sky
334,Batticaloa,7.7102,81.6924,78.85,82,98,4.27,LK,overcast clouds
335,Sapa,5.1544,120.3241,83.75,67,100,10.29,PH,overcast clouds
