city_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Quelimane,MZ,2021=03-28 17:48:08,-17.8786,36.8883,78.8,89,40,4.61
163,Londoko,RU,2021=03-28 17:48:08,49.0333,131.9833,35.02,97,100,7.72
164,Sao Filipe,CV,2021=03-28 17:48:08,14.8961,-24.4956,70.61,71,12,18.77
165,Oriximina,BR,2021=03-28 17:48:08,-1.7656,-55.8661,86.5,63,82,4.25
166,Benguela,AO,2021=03-28 17:48:09,-12.5763,13.4055,78.85,79,20,4.88
167,Padang,ID,2021=03-28 17:48:09,-0.9492,100.3543,75.2,100,20,2.3
168,Benghazi,LY,2021=03-28 17:48:09,32.1167,20.0667,60.08,56,82,13.65
169,Avarua,CK,2021=03-28 17:48:09,-21.2078,-159.775,80.6,78,75,13.8
170,Tasiilaq,GL,2021=03-28 17:48:10,65.6145,-37.6368,21.2,53,20,6.91
171,Fortuna,US,2021=03-28 17:48:10,40.5982,-124.1573,44.6,100,90,10.36
172,Trelew,AR,2021=03-28 17:48:10,-43.249,-65.3051,75.38,29,89,11.77
173,Palana,RU,2021=03-28 17:48:10,59.1167,159.9667,1.18,93,100,10.0
174,Hithadhoo,MV,2021=03-28 17:48:11,-0.6,73.0833,81.95,79,100,22.1
175,Bredasdorp,ZA,2021=03-28 17:47:04,-34.5322,20.0403,64.4,77,100,14.97
176,Dobryanka,RU,2021=03-28 17:48:11,58.4619,56.4165,32.0,43,0,6.71
177,La Ronge,CA,2021=03-28 17:48:11,55.1001,-105.2842,32.0,86,100,8.05
178,Bahir Dar,ET,2021=03-28 17:48:11,11.5936,37.3908,71.31,45,54,8.46
179,Mormugao,IN,2021=03-28 17:48:12,15.4,73.8,84.2,84,40,4.61
180,Isla Mujeres,MX,2021=03-28 17:48:12,21.2311,-86.731,84.2,65,40,14.97
181,Buala,SB,2021=03-28 17:44:47,-8.145,159.5921,80.04,82,65,8.19
182,Moree,AU,2021=03-28 17:48:12,-29.4667,149.85,59.0,88,1,5.75
183,Margate,GB,2021=03-28 17:45:07,51.3813,1.3862,51.01,71,100,8.01
184,Mar Del Plata,AR,2021=03-28 17:48:12,-38.0023,-57.5575,68.0,83,40,14.97
185,Meadow Lake,US,2021=03-28 17:45:10,34.8014,-106.5436,60.01,40,1,4.61
186,Sabang,ID,2021=03-28 17:48:13,5.8933,95.3214,79.45,78,100,8.9
187,Saldanha,ZA,2021=03-28 17:48:13,-33.0117,17.9442,71.6,43,100,11.5
188,Preobrazheniye,RU,2021=03-28 17:48:13,42.9019,133.9064,39.09,95,100,4.32
189,Tuatapere,NZ,2021=03-28 17:48:13,-46.1333,167.6833,52.0,98,94,1.83
190,Rwamagana,RW,2021=03-28 17:48:14,-1.9487,30.4347,75.2,53,40,6.91
